what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1332806484296
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332806486000
started,bundle,org.eclipse.jst.server.generic.core,1.0.700.v20101219,"org.eclipse.jst.server.generic.core",1332806491281
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332806491343
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.run",1332806494734
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1332806495187
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1332806496125
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1332806496234
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1332806498421
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332806503171
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332806503187
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332806503265
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332806544218
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1332806546203
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1332806546359
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1332806566281
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1332806570578
opened,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1332806572593
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1332806572703
started,bundle,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.ui",1332806578250
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332806588578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332806588953
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332806617968
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1332806619156
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1332806632125
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332806642203
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332806644140
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1332806652609
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1332806654953
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332806658281
