what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1332201391875
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1332201398234
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1332201400250
opened,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.TypeHierarchy,1332201429062
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.TypeHierarchy,1332201429078
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1332201430093
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1332201487906
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1332201890750
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1332201893953
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1332201913500
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1332201954250
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1332202075468
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1332202077109
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1332202079328
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1332202079343
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1332202079359
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1332202079359
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1332202079468
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1332202079640
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1332202079750
stopped,bundle,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui,1332202079750
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.tasks,1332202079750
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1332202079750
stopped,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1332202079750
stopped,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1332202079765
