what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323392063796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323392063796
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323392063906
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323392090234
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323392093078
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1323392098937
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323392100812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323392102562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323392105203
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1323392107937
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323392115375
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323392131437
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323392154562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323392157656
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323392157671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323392161781
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323392161781
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323392161906
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323392195265
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1323392206531
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1323392206859
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1323392207343
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323392210187
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323392216015
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1323392218328
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323392220031
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323392222828
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323392233578
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323392238781
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323392240328
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323392260734
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323392286546
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323392288953
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323392288968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323392289062
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323392307703
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1323392309156
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1323392311312
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1323392315953
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1323392317218
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1323392329031
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.run",1323392331609
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1323392332109
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1323392334484
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1323392335093
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1323392336859
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1323392342171
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1323392344687
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323392365937
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323392367390
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323392403453
