what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1378154271472
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1378154271488
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1378154271504
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1378154271519
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1378154271535
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1378154271550
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1378154271566
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1378154271566
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1378154271582
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1378154271597
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1378154271613
os,sysinfo,,,"win32",1378154271613
arch,sysinfo,,,"x86",1378154271613
ws,sysinfo,,,"win32",1378154271613
locale,sysinfo,,,"en_US",1378154271613
processors,sysinfo,,,"2",1378154271613
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1378154271613
java.runtime.version,sysinfo,,,"1.7.0_04-b20",1378154271613
java.specification.name,sysinfo,,,"Java Platform API Specification",1378154271613
java.specification.vendor,sysinfo,,,"Oracle Corporation",1378154271613
java.specification.version,sysinfo,,,"1.7",1378154271613
java.vendor,sysinfo,,,"Oracle Corporation",1378154271613
java.version,sysinfo,,,"1.7.0_04",1378154271613
java.vm.info,sysinfo,,,"mixed mode, sharing",1378154271613
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1378154271613
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1378154271613
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1378154271613
java.vm.specification.version,sysinfo,,,"1.7",1378154271613
java.vm.vendor,sysinfo,,,"Oracle Corporation",1378154271613
java.vm.version,sysinfo,,,"23.0-b21",1378154271613
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1378154272707
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378154273785
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378154659628
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378154669486
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378154672064
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378154677314
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378154691921
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378154692046
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1378154692281
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1378154692296
